sourceId,eventType,eventTime,currentAggregateRate
16,SOURCE_ON,60.3178190588961,8.0
3,SOURCE_OFF,60.40054082910889,7.0
5,SOURCE_OFF,60.47905390328607,6.0
8,SOURCE_ON,60.495423730544815,7.0
6,SOURCE_ON,60.56935882577488,8.0
11,SOURCE_ON,60.63694260630185,9.0
15,SOURCE_ON,60.88966716470107,10.0
18,SOURCE_ON,60.99655836756072,11.0
10,SOURCE_OFF,61.08057297306342,10.0
0,SOURCE_OFF,61.10921912336098,9.0
7,SOURCE_ON,61.335458528914835,10.0
2,SOURCE_ON,61.360904429101886,11.0
5,SOURCE_ON,61.532424432286575,12.0
3,SOURCE_ON,61.55384582569676,13.0
6,SOURCE_OFF,61.682559649398904,12.0
8,SOURCE_OFF,62.2853729018492,11.0
10,SOURCE_ON,62.28584187525933,12.0
18,SOURCE_OFF,62.48050428729347,11.0
5,SOURCE_OFF,62.56781639647537,10.0
3,SOURCE_OFF,62.637910449922856,9.0
6,SOURCE_ON,62.69906407161643,10.0
15,SOURCE_OFF,62.73970856570565,9.0
12,SOURCE_OFF,62.96131703598064,8.0
0,SOURCE_ON,63.00322158802329,9.0
2,SOURCE_OFF,63.15088899295315,8.0
19,SOURCE_ON,63.5155970953459,9.0
18,SOURCE_ON,63.64180526415262,10.0
11,SOURCE_OFF,63.6456552869465,9.0
6,SOURCE_OFF,63.76035275597639,8.0
14,SOURCE_ON,63.7941632039781,9.0
10,SOURCE_OFF,63.85322398380354,8.0
15,SOURCE_ON,63.90443685207217,9.0
9,SOURCE_ON,64.12394508823293,10.0
8,SOURCE_ON,64.17863476096105,11.0
7,SOURCE_OFF,64.20063889353715,10.0
3,SOURCE_ON,64.23092370134665,11.0
5,SOURCE_ON,64.32040374985374,12.0
2,SOURCE_ON,64.81912460844262,13.0
18,SOURCE_OFF,64.82493007219112,12.0
15,SOURCE_OFF,64.96256369146971,11.0
10,SOURCE_ON,64.9702499760814,12.0
11,SOURCE_ON,65.08997299354189,13.0
19,SOURCE_OFF,65.2672800143101,12.0
8,SOURCE_OFF,65.35586696666113,11.0
9,SOURCE_OFF,65.74863080512895,10.0
7,SOURCE_ON,65.76561358321328,11.0
18,SOURCE_ON,65.98309202008744,12.0
2,SOURCE_OFF,66.12163447857586,11.0
15,SOURCE_ON,66.19600846373815,12.0
3,SOURCE_OFF,66.41759592540961,11.0
8,SOURCE_ON,66.49854340926012,12.0
